No,gender,age,age_group,edu,job,region,DTMC1,DTMC2,DTMC3,DTMC4,DTMC5,DTMC6,DTNC1,DTNC2,DTNC3,DTNC4,DTNC5,DTNC6,DTPS1,DTPS2,DTPS3,DTPS5,DTPS6,DTPS7,DTSD1,DTSD2,DTSD3,DTSD5,DTSD6
1134,2,44,3,2,7,1,4,4,4,3,4,2,4,4,5,2,4,4,1,1,2,1,1,1,1,1,1,1,1
1135,1,31,2,3,4,9,2,2,2,2,3,4,1,3,1,1,1,3,1,3,2,1,1,1,1,3,2,5,1
1136,2,28,1,3,10,3,2,2,4,4,1,3,2,4,4,3,4,4,3,4,2,1,2,3,1,1,1,1,1
1139,2,64,5,2,9,1,4,3,4,3,3,4,4,4,4,3,4,3,3,3,4,5,4,3,2,3,2,1,1
1140,2,43,3,3,4,13,4,3,3,2,2,1,1,1,1,1,2,5,2,1,1,1,3,3,1,2,3,1,1
1141,1,30,2,5,2,10,1,1,4,4,2,3,3,2,4,3,3,4,2,1,1,1,1,1,1,2,2,2,2
1142,2,60,5,2,7,9,4,1,5,2,2,1,3,3,1,3,4,4,1,1,1,3,4,3,2,1,1,4,1
1144,1,51,4,3,3,12,3,3,4,2,4,2,1,2,2,2,4,3,1,2,1,1,2,3,3,2,3,3,1
1146,1,21,1,2,1,1,1,1,1,2,2,2,3,4,4,4,3,3,1,3,1,1,1,2,1,2,1,1,1
1147,1,47,3,3,4,11,3,2,2,3,3,2,3,2,2,3,3,2,2,3,2,3,2,2,3,2,3,3,2
1148,1,60,5,3,3,3,3,2,3,2,3,2,2,3,3,2,3,2,2,3,2,1,2,2,2,1,3,3,1
1149,2,27,1,3,4,11,3,3,3,2,3,2,2,2,2,2,4,3,2,3,2,2,4,2,2,2,2,5,2
1150,2,59,4,4,9,3,4,4,5,4,5,4,3,3,3,4,4,4,2,2,1,1,1,2,1,1,3,3,1
1152,2,35,2,3,9,9,3,3,3,3,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2
1153,2,27,1,3,4,9,2,1,3,2,1,1,2,2,1,1,3,4,1,2,1,1,1,1,1,1,1,4,1
1154,2,23,1,3,6,12,2,2,3,2,4,2,4,4,3,3,3,4,2,2,2,2,2,4,2,1,2,1,1
1155,2,39,2,3,4,9,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
1158,2,64,5,3,3,2,3,3,4,2,3,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1
1159,1,42,3,2,10,9,4,4,2,4,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,2,2
1160,2,61,5,2,4,6,4,2,3,1,3,3,3,2,2,2,3,3,2,2,2,1,1,3,1,1,1,3,1
1162,2,65,5,2,9,1,4,2,4,2,2,2,3,2,3,2,4,3,2,4,2,2,2,2,2,2,2,2,2
1163,2,62,5,3,9,9,4,2,3,2,3,2,4,4,4,4,4,3,1,2,2,2,2,3,1,1,2,4,1
1164,1,60,5,4,4,9,1,2,1,1,3,1,3,3,3,2,4,4,2,5,4,1,1,4,4,4,2,4,1
1165,1,61,5,4,6,5,4,3,3,2,4,2,4,3,3,3,3,3,2,4,4,2,3,4,2,2,3,4,2
1167,2,46,3,3,9,9,4,3,4,2,4,1,3,3,2,2,3,2,2,2,1,1,1,3,1,1,1,3,1
1168,2,41,3,3,9,7,4,4,4,3,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1170,1,64,5,3,4,9,4,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,3,3,3,2,3,4,1
1171,1,51,4,2,6,1,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2
1172,2,53,4,2,9,6,4,3,4,3,3,2,2,3,4,4,3,2,1,1,1,1,1,4,1,1,1,4,1
1173,2,53,4,3,5,1,4,3,3,3,4,3,2,2,3,2,2,2,2,2,2,1,1,2,1,3,2,3,1
1174,1,56,4,4,3,1,3,2,3,2,3,2,2,3,3,3,4,4,2,4,2,2,2,2,2,2,2,3,2
1175,1,44,3,4,4,2,4,4,4,3,4,3,4,4,2,4,4,4,2,2,2,1,1,4,5,5,5,5,1
1176,1,37,2,3,7,6,5,4,5,3,4,1,3,4,3,2,4,3,1,4,2,2,1,2,1,1,2,5,1
1177,1,37,2,3,4,3,3,3,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3
1178,2,46,3,5,4,1,3,2,3,4,3,3,2,3,4,3,1,1,2,3,3,1,1,3,1,2,2,5,1
1179,1,57,4,3,4,1,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3
1181,2,39,2,3,5,9,4,3,4,2,3,3,3,3,2,2,3,3,2,2,2,2,2,3,3,4,4,4,1
1182,1,51,4,3,7,1,5,4,4,4,4,4,2,2,2,3,4,4,2,2,2,1,2,3,3,3,4,4,2
1183,2,57,4,3,9,1,5,4,4,3,5,3,2,2,3,3,4,3,1,4,3,1,1,4,2,1,1,4,1
1184,2,47,3,2,4,1,4,4,3,4,4,3,1,3,3,3,3,2,4,2,3,1,4,3,2,1,3,5,1
1186,1,63,5,3,4,1,4,3,3,4,4,3,3,3,3,3,4,3,2,3,1,1,1,3,3,1,2,2,1
1187,1,67,5,3,3,11,4,2,3,4,2,2,3,4,2,2,3,4,3,2,2,2,3,4,2,2,2,4,2
1188,2,26,1,3,5,1,3,3,4,2,4,4,2,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1
1189,2,63,5,2,9,4,4,4,4,3,4,4,2,2,3,4,4,2,4,3,2,1,2,2,2,1,1,1,2
1190,2,23,1,2,1,2,5,4,4,5,4,2,3,3,2,4,3,3,1,2,2,1,1,1,1,3,3,5,1
1191,1,49,3,3,4,1,3,3,3,4,3,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3
1193,2,28,1,2,10,9,4,5,4,4,2,2,2,2,2,1,3,2,3,4,2,1,2,3,2,4,4,4,1
1194,1,52,4,5,5,9,4,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2
1196,1,29,1,3,6,5,3,2,2,3,4,3,2,3,3,2,3,4,3,2,3,3,4,3,2,3,3,3,3
1197,2,48,3,3,4,2,4,3,4,4,4,3,3,3,2,3,3,3,2,4,3,2,3,3,1,1,1,4,1
1198,1,42,3,2,4,1,5,1,3,2,3,5,1,1,3,1,1,5,3,1,1,1,5,1,1,1,1,5,3
1199,1,43,3,4,5,4,4,2,2,3,4,3,3,3,3,2,3,3,2,2,2,1,2,2,2,3,2,4,1
1200,1,51,4,3,4,9,2,3,2,2,3,2,2,4,3,2,4,4,1,3,1,2,2,4,1,3,3,2,1
1203,2,27,1,3,6,9,4,3,3,5,5,2,2,4,2,2,4,2,5,4,3,1,3,4,2,1,4,3,5
1204,2,54,4,3,9,5,4,3,3,3,4,3,3,3,3,3,4,4,2,3,2,2,3,3,4,3,3,2,2
1208,1,51,4,5,4,1,4,3,3,2,3,3,2,2,3,3,4,3,3,3,3,2,2,3,2,4,2,2,2
1209,2,42,3,4,4,9,4,3,4,3,4,2,3,2,2,2,4,3,1,2,1,1,1,1,1,2,2,4,1
1212,1,45,3,2,4,2,3,3,3,3,2,1,1,1,1,1,2,3,1,3,1,1,3,1,1,3,1,1,1
1213,2,40,3,3,9,9,4,3,4,2,3,4,3,3,3,2,3,4,2,3,4,3,3,2,4,3,2,1,2
1214,1,43,3,3,4,3,5,4,5,4,5,1,3,3,2,1,2,3,3,3,3,1,1,3,1,1,1,5,1
1216,2,62,5,2,9,2,5,4,4,3,4,2,3,3,3,2,2,3,1,4,1,3,3,4,2,1,3,4,1
1217,1,40,3,3,4,1,1,2,2,1,2,4,4,4,3,3,4,3,3,3,2,2,2,3,3,2,2,3,1
1218,2,53,4,3,9,11,5,4,4,2,4,2,3,4,2,3,4,4,1,2,2,1,2,3,2,1,3,3,1
1219,2,31,2,3,7,3,4,3,3,3,2,3,3,3,3,3,3,4,2,3,3,1,2,3,2,3,3,3,1
1220,1,35,2,3,4,1,2,2,1,1,1,4,3,3,2,2,1,1,4,3,3,2,3,3,3,1,1,2,2
1221,1,53,4,3,4,5,1,2,4,3,3,4,3,3,2,2,3,3,1,1,1,2,2,2,1,2,2,3,1
1222,2,65,5,3,9,12,5,1,4,1,3,1,5,3,3,4,5,3,3,3,4,1,1,3,1,4,3,1,1
1223,2,53,4,3,9,1,3,4,4,3,4,3,4,4,4,4,3,2,2,1,1,2,2,2,2,1,2,2,1
1224,2,23,1,2,11,1,3,4,2,3,3,3,2,3,3,3,4,3,3,2,2,1,2,4,2,3,3,4,1
1227,2,50,4,3,7,9,4,4,4,4,4,3,4,4,3,3,3,3,2,2,3,3,3,3,2,3,3,4,3
1228,2,63,5,3,11,1,3,3,3,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,1
1231,2,60,5,2,9,9,3,3,4,2,4,1,3,3,4,3,4,4,1,3,2,2,4,3,1,3,2,4,1
1233,1,50,4,3,4,6,3,3,3,2,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1234,2,64,5,3,7,1,4,3,4,2,4,3,3,4,4,3,4,4,1,3,1,1,1,1,1,1,1,1,1
1235,2,26,1,3,4,6,5,4,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1236,2,49,3,3,9,9,3,2,4,3,3,3,3,2,3,3,3,4,2,3,2,1,2,3,1,1,2,3,1
1237,2,51,4,3,6,9,4,2,3,2,4,3,3,4,2,2,4,4,2,4,2,3,2,3,2,2,2,2,2
1240,1,38,2,3,4,13,5,3,3,2,3,2,4,4,2,4,4,3,2,3,2,1,2,4,1,2,2,1,1
1241,2,35,2,3,5,12,1,1,4,2,3,2,1,1,2,1,3,3,1,2,1,1,1,3,1,1,1,4,1
1242,2,25,1,3,4,6,5,4,5,4,5,2,4,3,2,4,4,5,4,4,1,1,1,4,1,4,4,4,1
1246,2,36,2,5,4,1,2,2,3,3,4,2,3,3,2,2,3,3,2,3,1,2,2,3,1,1,1,2,1
1247,2,62,5,2,9,9,3,2,2,2,4,3,2,2,3,3,4,3,2,2,2,1,2,4,2,2,2,4,2
1249,1,34,2,3,4,1,3,4,3,3,2,3,3,3,3,4,4,4,4,3,4,2,4,3,4,3,3,3,3
1250,2,61,5,3,3,9,4,3,3,2,4,3,3,4,3,3,4,4,1,3,1,2,2,3,1,1,2,2,1
1252,1,56,4,3,3,1,4,4,5,3,4,3,3,3,3,2,3,4,2,3,3,4,4,3,2,4,3,4,2
1256,2,24,1,3,4,1,4,3,5,2,3,1,3,5,3,3,5,3,1,5,2,1,1,2,2,4,1,4,3
1257,1,39,2,4,5,1,3,4,4,3,3,2,4,3,3,4,3,4,3,3,3,4,3,4,4,3,3,4,3
1258,1,55,4,2,3,14,5,4,4,3,4,2,3,3,4,3,2,3,2,3,2,2,3,3,3,4,2,2,1
1259,2,68,5,2,9,9,4,2,3,3,3,2,2,3,3,3,3,4,2,3,2,3,4,3,2,2,2,4,2
1266,2,56,4,3,4,9,5,3,3,2,3,1,2,3,2,1,1,2,2,4,1,1,3,3,3,2,1,4,1
1268,2,30,2,4,4,11,4,4,4,4,4,3,2,3,2,3,4,3,3,2,1,1,2,3,1,2,2,4,1
1270,2,44,3,5,7,1,2,2,2,4,3,3,3,3,2,3,4,4,2,2,3,2,2,3,3,2,3,4,2
1271,2,49,3,2,4,1,3,3,4,3,4,1,4,5,3,4,4,3,2,4,4,1,1,3,1,1,1,4,1
1272,2,65,5,2,9,1,3,2,3,2,2,2,2,3,2,2,3,3,3,4,2,2,3,4,2,2,2,4,1
1273,2,61,5,2,9,9,4,4,5,3,4,2,1,2,4,4,3,2,3,2,1,3,4,2,1,1,1,3,1
1280,2,20,1,2,1,12,5,5,5,5,5,5,1,2,1,1,4,5,4,3,3,1,4,2,4,4,5,4,1
1286,2,34,2,3,4,3,3,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
1289,2,35,2,3,4,1,2,3,3,4,3,2,3,4,2,4,4,4,4,4,4,2,3,3,1,1,1,1,1
1292,2,50,4,2,7,2,3,4,4,3,3,4,3,4,3,2,3,3,3,4,3,4,3,3,4,3,3,4,3
1297,2,40,3,4,3,2,4,2,4,3,3,2,1,1,2,2,2,2,3,2,2,2,3,2,1,1,5,4,1
1298,2,44,3,3,9,1,3,2,4,3,3,2,3,2,3,2,3,3,2,2,1,1,2,1,1,1,1,1,2
1300,2,24,1,2,4,1,5,1,4,3,2,4,1,1,2,3,3,1,2,1,1,1,1,1,1,1,1,5,1
1303,2,45,3,2,4,3,5,3,3,4,4,4,4,4,2,2,2,2,2,2,1,2,2,2,2,1,1,3,1
1305,2,40,3,3,4,1,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1
1311,1,26,1,2,7,7,4,3,4,4,4,2,2,4,5,2,2,2,2,2,2,1,2,3,3,3,2,4,3
1312,2,38,2,3,9,6,3,2,3,2,4,3,2,2,2,3,4,4,1,1,1,1,2,3,3,3,3,3,2
1325,2,46,3,3,7,4,4,2,4,4,1,1,4,4,2,3,3,3,1,1,1,1,1,3,1,1,1,1,1
1326,2,34,2,3,9,9,3,2,4,3,3,2,2,3,3,2,3,2,3,2,2,2,3,3,3,4,2,3,4
1327,2,45,3,3,4,1,4,2,4,3,4,1,2,2,2,2,3,3,1,2,2,2,2,2,1,1,1,3,1
1328,1,27,1,3,2,1,2,4,3,1,2,2,3,4,2,2,4,3,2,2,1,1,1,2,1,3,2,2,1
1339,2,45,3,4,4,6,4,2,3,1,1,1,3,3,2,3,4,3,1,2,1,1,1,2,1,1,1,2,1
1350,1,23,1,3,7,2,4,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,3,2,2,3,2,4,2
1361,1,29,1,3,4,9,4,3,4,2,5,2,2,3,2,2,2,2,1,1,1,1,1,2,1,1,4,4,1
1362,2,36,2,3,4,13,3,3,3,3,3,2,3,3,3,3,4,3,3,4,4,1,1,1,1,1,1,1,1
1372,1,22,1,2,1,11,3,3,3,3,1,2,3,4,2,3,3,3,3,3,4,1,2,3,1,1,1,1,1
1374,2,31,2,3,7,1,4,3,3,3,3,3,3,2,2,2,2,2,1,3,1,1,2,3,1,1,3,4,1
1380,2,32,2,5,6,11,4,4,5,1,5,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,4,1
1395,1,25,1,2,1,1,5,3,5,3,4,3,1,4,2,3,3,2,2,1,1,1,2,2,1,1,2,3,1
1399,1,25,1,2,10,11,5,2,2,4,4,2,3,4,1,1,3,4,1,4,1,1,1,3,1,4,2,4,1
1400,1,29,1,3,6,10,5,4,4,4,4,4,4,3,4,4,4,4,2,1,1,1,1,1,1,4,4,5,1
1401,1,25,1,3,10,13,3,3,4,4,4,2,1,1,1,1,3,3,1,2,2,4,4,2,2,2,3,2,3
